"RefDes";"Name";"Value";"Manufacturer";"Manufacturer_Part_Number"
"B1";"Keystone 3012";"Keystone 3012";"Keystone";""
"C1, C2, C9, C201, C303, C314, C315, C401, C403, C404, C405";"CAP_0603";"100nF";"";""
"C3, C5";"CAP_0603";"3.9pF";"";""
"C4, C13";"CAP_1206";"2.2uF";"";""
"C6, C8";"CAP_0603";"22pF";"";""
"C7, C11";"CAP_0805";"1uF";"";""
"C10";"CAP_1206";"4.7uF";"";""
"C12, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C402";"";"100nF";"";""
"C101";"CAP_0603";"3.3uF NM";"";""
"C102";"CAP_0603";"33nF 25V";"";""
"C103";"CAP_0603";"100nF 25V";"";""
"C104";"CAP_0805";"3.3uF 25V";"";""
"C105";"CAPAE_17x17h19";"100uF 100V 16mm";"";""
"C106";"CAPAE_8.35x8.35h10.2";"10uF 100V";"";""
"C107";"CAP_1825";"1uF 100V+";"";""
"C108";"CAP_0805";"100nF 100V+";"";""
"C202";"CAP_0805";"56pF NM";"";""
"C203";"CAP_1825";"1uF 100V+ NonPol";"";""
"C204";"CAP_0805";"100nF";"";""
"C301, C312";"CAP_0603";"10nF";"";""
"C302, C313";"CAP_0603";"1nF";"";""
"C304, C305";"";"2.2uF 100V";"";""
"C306";"CAP_0603";"100nF 100V";"";""
"C307, C316";"";"2.2uF";"";""
"C308, C311, C317";"";"22uF";"";""
"C309, C318";"CAP_0603";"22nF";"";""
"C310, C319";"";"1uF";"";""
"D101, D102, D103, D201";"DIODE_0603";"SD0603S040S0R2";"";""
"F301";"Fuse Holder";"0154.500T 0.5A SloBlo";"LittleFuse";""
"J301, J302, J303, J304, J305, J306";"90131-0121";"";"Molex";""
"J401, J403, J404, J405";"Molex 501876-1040";"501876-1040";"Molex";"501876-1040"
"J402";"FTSH-105-01-L-DV";"FTSH-105-01-L-DV";"";""
"J501, J503";"90131-0122";"";"Molex";""
"J502";"90131-0123";"";"Molex";""
"J504";"90131-0124";"";"Molex";""
"L301, L302";"DR125-101-R";"100uH";"";""
"Q201, Q202";"SQJ488EP";"SQJ488EP";"Vishay";""
"R1, R2, R5";"RES_0603";"10K";"";""
"R3";"RES_0603";"765";"";""
"R4, R104, R407, R408";"RES_0603";"5k";"";""
"R101, R102, R103";"RES_0603";"30.1k";"";""
"R105, R106, R107";"RES_0603";"6.81k";"";""
"R108";"RES_0603";"402";"";""
"R201";"RES_0603";"9.09k";"";""
"R202, R206";"RES_0603";"10";"";""
"R203, R204";"RES_0603";"2k 1%";"";""
"R205";"RES_0603";"3";"";""
"R301, R310";"RES_0603";"4.7";"";""
"R302";"RES_0603";"402K";"";""
"R303, R312";"RES_0603";"100k";"";""
"R304, R313";"RES_0603";"100K 1%";"";""
"R305";"RES_0603";"10K 1%";"";""
"R306";"RES_0603";"121k";"";""
"R307";"RES_0603";"4.32K 1%";"";""
"R308, R316";"RES_0603";"2K 1%";"";""
"R309";"RES_0603";"6.04k";"";""
"R311";"RES_0603";"110K";"";""
"R314";"RES_0603";"1.3K 1%";"";""
"R315";"RES_0603";"16K 1%";"";""
"R401, R402, R403, R404, R405, R406";"RES_0603";"10k";"";""
"R409, R410, R411, R412, R413";"RES_0603";"50";"";""
"R414, R415, R416";"RES_0603";"";"";""
"S1, S2";"B3U-1000P";"";"OMRON";""
"U1";"STM32F446ZE";"STM32F446ZE";"ST";""
"U101";"MIC4607-1";"MIC4607-1";"Microchip";""
"U201";"TSV991";"TSV991";"ST";""
"U202";"ACS780LLR-050U-T";"ACS780LLR-050U-T";"Allegro";""
"U301, U303";"LM5161";"LM5161";"";""
"U302";"AZ1117IH-5.0TRG1";"AZ1117IH-5.0TRG1";"Diodes Inc";""
"Y1";"ABS07-LR";"ABS07-LR";"Abracon";""
"Y2";"ABM3-8.000MHZ-D2Y-T";"ABM3";"Abracon";""
